BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
"SOCW Social Welfare, Family Studies & Gerontology",Harley-McClaskey D,Developing Human Service Leaders,,,2/22/2016,368 pages,,,978-1-4833-9310-0,£78.00,,,http://www.uk.sagepub.com/books/Book245493
PUBA Public Administration and Urban Studies,Harmon M,Responsibility as Paradox,Rethinking Public Administration,Volume 1,6/28/1995,245 pages,978-0-8039-7007-6,£55.00,978-0-8039-7008-3,£45.99,,,http://www.uk.sagepub.com/books/Book5079
SOCR Social Research Methods and Evaluation,Harnois C,Feminist Measures in Survey Research,,,3/17/2012,184 pages,,,978-1-4129-8835-3,£28.99,,,http://www.uk.sagepub.com/books/Book235149
,Harnois C,Analyzing Inequalities,,,4/30/2017,232 pages,,,978-1-5063-0411-3,£32.99,,,http://www.uk.sagepub.com/books/Book245579
"SOCW Social Welfare, Family Studies & Gerontology",Harper M & Iyer L,Rescuing Railway Children,,,9/30/2013,252 pages,978-8-13-211161-0,£38.00,978-8-13-211661-5,£29.99,978-8-13-211786-5,£24.00,http://www.uk.sagepub.com/books/Book241955
DEVE Development Studies,Harper M et al,Whose Sustainability Counts?,,,8/30/2012,296 pages,,,978-8-13-211008-8,,,,http://www.uk.sagepub.com/books/Book241235
PSYC Psychotherapy and Counselling,Harpine E,Prevention Groups,Prevention Practice Kit,,2/11/2013,56 pages,,,978-1-4522-5798-3,£16.99,,,http://www.uk.sagepub.com/books/Book239655
PSYC Psychology,Harr&amp;eacute; R & Gillett G,The Discursive Mind,,,4/25/1994,196 pages,978-0-8039-5501-1,£39.00,978-0-8039-5502-8,£40.99,,,http://www.uk.sagepub.com/books/Book3668
ENVI Environmental Studies,Harr&amp;eacute; R et al,Greenspeak,,,12/30/1998,216 pages,978-0-7619-1704-5,£126.00,978-0-7619-1705-2,£64.00,,,http://www.uk.sagepub.com/books/Book8699
PSYC Psychology,Harre H,The Singular Self,,,12/28/1997,208 pages,978-0-7619-5738-6,£106.00,978-0-7619-5739-3,£39.99,,,http://www.uk.sagepub.com/books/Book205177
PSYC Psychology,Harre H,Cognitive Science,,,2/18/2002,336 pages,978-0-7619-4746-2,£102.00,978-0-7619-4747-9,£33.99,978-1-84787-128-2,£26.99,http://www.uk.sagepub.com/books/Book224963
PSYC Psychology,Harre H,Key Thinkers in Psychology,,,11/30/2005,304 pages,978-1-4129-0344-8,£98.00,978-1-4129-0345-5,£32.99,978-1-84787-798-7,£25.99,http://www.uk.sagepub.com/books/Book227087
PSYC Psychology,Harre H & Moghaddam F,Psychology for the Third Millennium,,,3/30/2012,320 pages,978-0-85702-268-4,£111.00,978-0-85702-269-1,£37.99,978-1-4462-5824-8,£29.99,http://www.uk.sagepub.com/books/Book235291
PSYC Psychology,Harre H & Parrott W,The Emotions,,,6/28/1996,336 pages,978-0-8039-7929-1,£123.00,978-0-8039-7930-7,£41.99,978-1-4462-6580-2,£33.99,http://www.uk.sagepub.com/books/Book202382
PSYC Psychology,Harre H & Stearns P,Discursive Psychology in Practice,,,9/7/1995,240 pages,978-0-8039-7736-5,£97.00,978-0-8039-7737-2,£39.99,,,http://www.uk.sagepub.com/books/Book204292
EDUC Primary and Secondary Education,Harrett J,Exciting Writing,,,6/30/2006,112 pages,978-1-4129-1856-5,£90.00,978-1-4129-1857-2,£27.99,978-1-4462-0272-2,£21.99,http://www.uk.sagepub.com/books/Book228357
EDUC Primary and Secondary Education,Harries J,Promoting Personal Safety in PSHE,Lucky Duck Books,,5/18/2006,224 pages,978-1-4129-1822-0,£90.00,978-1-4129-1823-7,£29.99,978-1-84860-850-4,£23.99,http://www.uk.sagepub.com/books/Book228299
MANA Management and Organization Studies,Harrington B & Hall D,Career Management and Work-life Integration,,,7/16/2007,248 pages,978-1-4129-5410-5,£99.00,978-1-4129-3745-0,£67.00,,,http://www.uk.sagepub.com/books/Book228427
POLI Politics and International Relations,Harrington C & Carter L,Administrative Law and Politics: Fifth Edition,,,10/22/2014,584 pages,,,978-1-4522-4040-4,£111.00,,,http://www.uk.sagepub.com/books/Book238936
PSYC Psychology,Harrington M,The Design of Experiments in Neuroscience: Second Edition,,,11/13/2010,280 pages,,,978-1-4129-7432-5,£59.00,,,http://www.uk.sagepub.com/books/Book233870
EDUC Primary and Secondary Education,Harris A,Distributed Leadership Matters,,,2/28/2014,184 pages,,,978-1-4129-8118-7,£21.99,,,http://www.uk.sagepub.com/books/Book234532
EDUC Primary and Secondary Education,Harris A & Jones M,Leading Futures,,,11/4/2015,288 pages,978-9-35-150255-5,£19.99,,,978-9-35-150256-2,£16.00,http://www.uk.sagepub.com/books/Book246159
SOCI Sociology and Cultural Studies,Harris A & Tyner-Mullings A,The Sociology Student's Guide to Writing: Second Edition,,,2/6/2017,272 pages,,,978-1-5063-5048-6,£23.99,,,http://www.uk.sagepub.com/books/Book246805
EDUC Primary and Secondary Education,Harris B,Supporting the Emotional Work of School Leaders,"Leading Teachers, Leading Schools Series",,6/30/2007,208 pages,978-0-7619-4467-6,£97.00,978-0-7619-4468-3,£30.99,978-1-84860-529-9,£24.99,http://www.uk.sagepub.com/books/Book226371
"SOCW Social Welfare, Family Studies & Gerontology",Harris B,Working with Distressed Young People,Empowering Youth and Community Work Practice LM Series,,2/1/2011,136 pages,,,978-1-84445-205-7,£21.99,978-1-84445-637-6,£17.99,http://www.uk.sagepub.com/books/Book238462
SOCT Social Theory,Harris D,Teaching Yourself Social Theory,,,12/18/2002,256 pages,978-0-8039-7687-0,£97.00,978-0-8039-7688-7,£35.99,978-1-84920-714-0,£28.99,http://www.uk.sagepub.com/books/Book205293
SOCI Sociology and Cultural Studies,Harris D,Key Concepts in Leisure Studies,SAGE Key Concepts series,,12/30/2004,288 pages,978-0-7619-7057-6,£116.00,978-0-7619-7058-3,£26.99,978-1-4129-3233-2,£21.99,http://www.uk.sagepub.com/books/Book211295
SOCR Social Research Methods and Evaluation,Harris J,An Introduction to Exponential Random Graph Modeling,Quantitative Applications in the Social Sciences,Volume 173,2/28/2014,136 pages,,,978-1-4522-2080-2,£17.99,,,http://www.uk.sagepub.com/books/Book237737
PSYC Psychology,Harris J,Sensation and Perception,,,4/23/2014,520 pages,978-0-85702-063-5,£139.00,978-0-85702-064-2,£43.99,978-1-4739-0500-9,£34.99,http://www.uk.sagepub.com/books/Book235092
"SOCW Social Welfare, Family Studies & Gerontology",Harris J & Roulstone A,"Disability, Policy and Professional Practice",,,12/30/2010,160 pages,978-1-84920-169-8,£79.00,978-1-84920-170-4,£25.99,978-1-4462-1005-5,£20.99,http://www.uk.sagepub.com/books/Book234140
PSYC Psychology,Harris M,Exploring Developmental Psychology,,,1/30/2008,360 pages,978-1-4129-0334-9,£111.00,978-1-4129-0335-6,£36.99,978-1-84920-243-5,£29.99,http://www.uk.sagepub.com/books/Book227086
POLI Politics and International Relations,Harris P,Public Affairs Management,SAGE Library in Business and Management,,3/19/2013,1632 pages,978-1-4462-5480-6,£645.00,,,,,http://www.uk.sagepub.com/books/Book239104
MANA Management and Organization Studies,Harris P & Fleisher C,Handbook of Public Affairs,,,6/18/2005,616 pages,978-0-7619-4393-8,£120.00,,,978-1-4462-0685-0,£60.00,http://www.uk.sagepub.com/books/Book226260
MANA Management and Organization Studies,Harris P & Fleisher C,The SAGE Handbook of International Corporate and Public Affairs,,,12/6/2016,728 pages,978-1-4462-7611-2,£120.00,,,978-1-4739-5908-8,£96.00,http://www.uk.sagepub.com/books/Book241819
MANA Management and Organization Studies,Harris P & McDonald F,European Business and Marketing: Second Edition,,,3/18/2004,336 pages,978-0-7619-6604-3,£110.00,978-0-7619-6605-0,£36.99,978-1-4129-3234-9,£29.99,http://www.uk.sagepub.com/books/Book208891
ENVI Environmental Studies,Harris R,Quantitative Geography,,,9/13/2016,328 pages,978-1-4462-9653-0,£65.00,978-1-4462-9654-7,£22.99,978-1-4739-3339-2,£17.99,http://www.uk.sagepub.com/books/Book243240
EDUC Primary and Secondary Education,Harris S,Careers Education,,,6/28/1999,160 pages,978-1-85396-438-1,£138.00,978-1-85396-390-2,£36.99,978-1-84920-679-2,£29.99,http://www.uk.sagepub.com/books/Book8223
EDUC Primary and Secondary Education,Harris S,Best Practices of Award-Winning Elementary School Principals,,,6/30/2005,216 pages,978-1-4129-0647-0,£62.00,978-1-4129-0648-7,£26.99,,,http://www.uk.sagepub.com/books/Book226950
EDUC Primary and Secondary Education,Harris S,Best Practices of Award-Winning Secondary School Principals,,,7/12/2006,256 pages,978-1-4129-2504-4,£65.00,978-1-4129-2505-1,£29.99,,,http://www.uk.sagepub.com/books/Book226951
EDUC Primary and Secondary Education,Harris S,Learning From the Best,,,4/10/2009,192 pages,978-1-4129-5983-4,£46.99,978-1-4129-5984-1,£25.99,,,http://www.uk.sagepub.com/books/Book232109
SOCR Social Research Methods and Evaluation,Harris S,How to Critique Journal Articles in the Social Sciences,,,11/14/2013,136 pages,,,978-1-4522-4134-0,£25.99,,,http://www.uk.sagepub.com/books/Book238943
EDUC Primary and Secondary Education,Harrison A & Coll R,Using Analogies in Middle and Secondary Science Classrooms,,,1/13/2008,288 pages,978-1-4129-1332-4,£70.00,978-1-4129-1333-1,£31.99,,,http://www.uk.sagepub.com/books/Book226974
SOCR Social Research Methods and Evaluation,Harrison B,Life Story Research,SAGE Benchmarks in Social Research Methods,,1/18/2009,1712 pages,978-1-4129-3588-3,£645.00,,,,,http://www.uk.sagepub.com/books/Book230929
ECON Economics,Harrison B & Weiss M,Workforce Development Networks,,,3/30/1998,200 pages,978-0-7619-0847-0,£103.00,978-0-7619-0848-7,£49.99,,,http://www.uk.sagepub.com/books/Book4965
EDUC Primary and Secondary Education,Harrison C,Understanding Reading Development,,,12/30/2003,216 pages,978-0-7619-4250-4,£97.00,978-0-7619-4251-1,£25.99,978-1-84787-647-8,£20.99,http://www.uk.sagepub.com/books/Book225489
,Harrison E & Rentzelas P,Your Psychology Dissertation,,,9/15/2017,176 pages,,,978-1-5264-3847-8,£27.00,,,http://www.uk.sagepub.com/books/Book260786
SOCI Sociology and Cultural Studies,Harrison J & Hoyler M,Doing Global Urban Research,,,3/24/2018,256 pages,978-1-4739-7856-0,£85.00,978-1-4739-7857-7,£29.99,978-1-5264-1678-0,£23.99,http://www.uk.sagepub.com/books/Book252261
CRIM Criminology,Harrison J et al,Study Skills for Criminology: Second Edition,SAGE Study Skills Series,,12/30/2011,208 pages,978-1-84920-793-5,£71.00,978-1-84920-794-2,£21.99,978-1-4462-5443-1,£17.99,http://www.uk.sagepub.com/books/Book234956
POLI Politics and International Relations,Harrison L & Callan T,Key Research Concepts in Politics and International Relations,,,5/31/2013,176 pages,978-1-4129-1184-9,£69.00,978-1-4129-1185-6,£22.99,978-1-4462-8166-6,£17.99,http://www.uk.sagepub.com/books/Book228111
HEAL Health Studies and Nursing,Harrison M,Implementing Change in Health Systems,,,3/18/2004,256 pages,978-0-7619-6175-8,£106.00,978-0-7619-6176-5,£35.99,978-1-84787-129-9,£28.99,http://www.uk.sagepub.com/books/Book208027
MANA Management and Organization Studies,Harrison M,Diagnosing Organizations: Third Edition,Applied Social Research Methods,Volume 8,12/30/2004,192 pages,978-0-7619-2571-2,£83.00,978-0-7619-2572-9,£58.00,,,http://www.uk.sagepub.com/books/Book226749
MANA Management and Organization Studies,Harrison M & Shirom A,Organizational Diagnosis and Assessment,,,9/30/1998,496 pages,978-0-8039-5510-3,£69.00,978-0-8039-5511-0,£89.00,,,http://www.uk.sagepub.com/books/Book7942
HEAL Health Studies and Nursing,Harrison M et al,Acute Mental Health Nursing,,,5/30/2004,256 pages,978-0-7619-7318-8,£116.00,978-0-7619-7319-5,£41.99,978-1-4129-3235-6,£33.99,http://www.uk.sagepub.com/books/Book219249
MANA Management and Organization Studies,Harrison R et al,The Ethical Consumer,,,3/30/2005,280 pages,978-1-4129-0352-3,£125.00,978-1-4129-0353-0,£30.99,978-1-84787-775-8,£24.99,http://www.uk.sagepub.com/books/Book227081
"SOCW Social Welfare, Family Studies & Gerontology",Harrison R et al,Leading Work with Young People,Published in association with The Open University,,8/18/2007,312 pages,978-1-4129-4603-2,£83.00,978-1-4129-4604-9,£28.99,,,http://www.uk.sagepub.com/books/Book231710
HEAL Health Studies and Nursing,Harrison S & McDonald R,The Politics of Healthcare in Britain,,,12/30/2007,216 pages,978-0-7619-4159-0,£87.00,978-0-7619-4160-6,£28.99,978-1-84920-244-2,£22.99,http://www.uk.sagepub.com/books/Book225652
EDUT Tertiary Education,Harrison T et al,Teaching Character in the Primary Classroom,,,3/10/2016,200 pages,978-1-4739-5216-4,£68.00,978-1-4739-5217-1,£22.99,978-1-4739-6801-1,£17.99,http://www.uk.sagepub.com/books/Book247896
WOME Women's and Gender Studies,Harrison W & Hood-Williams J,Beyond Sex and Gender,,,5/18/2002,258 pages,978-0-7619-5599-3,£129.00,978-0-7619-5600-6,£37.99,978-1-4462-6447-8,£29.99,http://www.uk.sagepub.com/books/Book206107
STUD Study Skills,Hart C,Doing a Literature Review,SAGE Study Skills Series,,11/28/1998,230 pages,978-0-7619-5974-8,£88.00,978-0-7619-5975-5,£24.99,978-1-4462-5306-9,£19.99,http://www.uk.sagepub.com/books/Book207824
STUD Study Skills,Hart C,Doing a Literature Search,SAGE Study Skills Series,,5/28/2001,194 pages,978-0-7619-6809-2,£90.00,978-0-7619-6810-8,£29.99,,,http://www.uk.sagepub.com/books/Book210585
STUD Study Skills,Hart C,Doing Your Masters Dissertation,SAGE Study Skills Series,,12/18/2004,496 pages,978-0-7619-4216-0,£90.00,978-0-7619-4217-7,£29.99,978-1-4462-5013-6,,http://www.uk.sagepub.com/books/Book225694
,Hart C,Doing a Literature Review: Second Edition,SAGE Study Skills Series,,1/27/2018,352 pages,978-1-5264-1920-0,£75.00,978-1-5264-1921-7,£26.99,978-1-5264-2314-6,£21.99,http://www.uk.sagepub.com/books/Book257278
EDUC Primary and Secondary Education,Hart P & Rowley J,Becoming A Star Teacher,,,,80 pages,978-0-8039-6684-0,£104.00,978-0-8039-6685-7,£21.99,,,http://www.uk.sagepub.com/books/Book7016
EDUC Primary and Secondary Education,Hart S,Beyond Special Needs,,,5/30/1996,160 pages,,,978-1-85396-301-8,£37.99,,,http://www.uk.sagepub.com/books/Book8567
SOCI Sociology and Cultural Studies,Hartley J,A Short History of Cultural Studies,,,12/18/2002,200 pages,978-0-7619-5027-1,£109.00,978-0-7619-5028-8,£27.99,978-1-4129-3236-3,£21.99,http://www.uk.sagepub.com/books/Book205297
PSYC Psychology,Hartley J et al,Job Insecurity,,,12/30/1990,256 pages,978-0-8039-8253-6,£119.00,978-0-8039-8254-3,£22.99,,,http://www.uk.sagepub.com/books/Book202465
COMM Communication and Media Studies,Hartley J et al,Key Concepts in Creative Industries,SAGE Key Concepts series,,10/18/2012,200 pages,978-1-4462-0288-3,£78.00,978-1-4462-0289-0,£24.99,978-1-4462-7138-4,£19.99,http://www.uk.sagepub.com/books/Book236863
COMM Communication and Media Studies,Hartley J et al,Creative Economy and Culture,,,9/14/2015,264 pages,978-0-85702-877-8,£79.00,978-0-85702-878-5,£25.99,978-1-4739-1183-3,£20.99,http://www.uk.sagepub.com/books/Book235933
CRIM Criminology,Hartley R,Snapshots of Research,,,12/20/2010,464 pages,,,978-1-4129-8919-0,£45.99,,,http://www.uk.sagepub.com/books/Book235265
EDUC Primary and Secondary Education,Hartman H & Glasgow N,Tips for the Science Teacher,,,11/30/2001,248 pages,978-0-7619-7588-5,£39.00,978-0-7619-7589-2,£29.99,,,http://www.uk.sagepub.com/books/Book8729
MANA Management and Organization Studies,Hartmann S,Cases in Marketing,European Management series,,10/28/1997,224 pages,978-0-7619-5569-6,£103.00,978-0-7619-5570-2,£34.99,978-0-85702-622-4,£27.99,http://www.uk.sagepub.com/books/Book206347
MANA Management and Organization Studies,Hartmann S,Teaching Notes for Cases in Marketing,,,1/30/1998,160 pages,,,978-0-7619-5595-5,,,,http://www.uk.sagepub.com/books/Book207727
EDUC Primary and Secondary Education,Hartnell-Young E & Morriss M,Digital Portfolios: Second Edition,,,2/12/2007,128 pages,978-1-4129-4929-3,£58.00,978-1-4129-4930-9,£25.99,,,http://www.uk.sagepub.com/books/Book229229
HEAL Health Studies and Nursing,Hartweg D,Dorothea Orem,Notes on Nursing Theories,Volume 4,10/30/1991,72 pages,978-0-8039-4576-0,£17.50,978-0-8039-4299-8,£31.99,,,http://www.uk.sagepub.com/books/Book3419
STAT Statistics and Mathematical Methods,Hartwig F & Dearing B,Exploratory Data Analysis,Quantitative Applications in the Social Sciences,Volume 16,1/10/1980,88 pages,,,978-0-8039-1370-7,£17.99,,,http://www.uk.sagepub.com/books/Book437
EDUC Primary and Secondary Education,Hartzell G et al,New Voices in the Field,,,6/30/1995,200 pages,978-0-8039-6190-6,£58.00,978-0-8039-6191-3,£25.99,,,http://www.uk.sagepub.com/books/Book4775
PSYC Psychology,Harvey J,Perspectives on Loss and Trauma,,,11/30/2001,328 pages,,,978-0-7619-2161-5,£78.00,,,http://www.uk.sagepub.com/books/Book19199
HEAL Health Studies and Nursing,Harvey J & Taylor V,Measuring Health and Wellbeing,Transforming Public Health Practice Series,,2/12/2013,152 pages,978-0-85725-832-8,£69.00,978-0-85725-433-7,£23.99,978-0-85725-435-1,£18.99,http://www.uk.sagepub.com/books/Book238644
EDUC Primary and Secondary Education,Harvey J et al,The Superintendent's Fieldbook: Second Edition,,,5/9/2013,400 pages,,,978-1-4522-1749-9,£33.99,,,http://www.uk.sagepub.com/books/Book237433
POLI Politics and International Relations,Harvey K,Encyclopedia of Social Media and Politics,,,3/31/2014,1640 pages,978-1-4522-4471-6,£395.00,,,,,http://www.uk.sagepub.com/books/Book239101
HEAL Health Studies and Nursing,Harvey M & Land L,Research Methods for Nurses and Midwives,,,11/3/2016,424 pages,978-1-4462-9849-7,£75.00,978-1-4462-9850-3,£26.99,978-1-4739-4365-0,£21.99,http://www.uk.sagepub.com/books/Book243456
EDUC Primary and Secondary Education,Harvey V & Struzziero J,Professional Development and Supervision of School Psychologists: Second Edition,,,6/25/2008,544 pages,978-1-4129-5326-9,£80.00,978-1-4129-5327-6,£37.99,,,http://www.uk.sagepub.com/books/Book230898
WOME Women's and Gender Studies,Harway M & O'Neil J,What Causes Men's Violence Against Women?,,,10/30/1999,312 pages,978-0-7619-0618-6,£116.00,978-0-7619-0619-3,£54.00,,,http://www.uk.sagepub.com/books/Book9314
EDUT Tertiary Education,Harwood D,Crayons and Ipads,SAGE Swifts,,5/24/2017,152 pages,978-1-4739-1599-2,£45.00,,,978-1-4739-2713-1,£13.99,http://www.uk.sagepub.com/books/Book245571
COMM Communication and Media Studies,Harwood J,Understanding Communication and Aging,,,7/8/2007,344 pages,,,978-1-4129-2609-6,£68.00,,,http://www.uk.sagepub.com/books/Book228338
MANA Management and Organization Studies,Harzing A & Pinnington A,International Human Resource Management: Fourth Edition,,,10/15/2014,568 pages,978-1-4462-6730-1,£132.00,978-1-4462-6731-8,£42.99,978-1-4739-0864-2,£33.99,http://www.uk.sagepub.com/books/Book240313
,Harzing A & Pinnington A,International Human Resource Management: Fourth Edition,,,3/31/2017,568 pages,,,978-9-38-606289-5,,,,http://www.uk.sagepub.com/books/Book258262
POLI Politics and International Relations,Hasan T,Colonialism and the Call to Jihad in British India,,,8/5/2015,232 pages,978-9-35-150261-6,£30.00,,,978-9-35-150262-3,£24.00,http://www.uk.sagepub.com/books/Book246162
POLI Politics and International Relations,Hasan Z,Democracy in Muslim Societies,,,9/30/2007,272 pages,978-0-7619-3566-7,£38.00,,,978-8-17-829967-9,£30.00,http://www.uk.sagepub.com/books/Book231577
POLI Politics and International Relations,Hasbullah S & Morrison B,Sri Lankan Society in an Era of Globalization,,,8/30/2004,272 pages,978-0-7619-3221-5,£38.00,978-0-7619-3222-2,£15.99,978-8-13-210320-2,£30.00,http://www.uk.sagepub.com/books/Book227174
PSYC Psychology,Haselager W,Cognitive Science and Folk Psychology,,,7/28/1997,176 pages,978-0-7619-5425-5,£90.00,978-0-7619-5426-2,£25.99,,,http://www.uk.sagepub.com/books/Book205900
"SOCW Social Welfare, Family Studies & Gerontology",Hasenfeld Y,Human Services as Complex Organizations: Second Edition,,,9/29/2009,608 pages,978-1-4129-5693-2,£49.00,978-1-4129-5694-9,£85.00,,,http://www.uk.sagepub.com/books/Book231683
POLI Politics and International Relations,Hashmi T,Global Jihad and America,,,1/31/2014,344 pages,978-8-13-211378-2,£42.00,,,978-9-35-150086-5,£34.00,http://www.uk.sagepub.com/books/Book242858
MANA Management and Organization Studies,Haski-Leventhal D,Strategic Corporate Social Responsibility,,,2/24/2018,416 pages,978-1-4739-9800-1,£120.00,978-1-4739-9801-8,£41.99,978-1-5264-4837-8,£33.99,http://www.uk.sagepub.com/books/Book255155
PSYC Psychology,Haslam N et al,"An Introduction to Personality, Individual Differences and Intelligence: Second Edition",SAGE Foundations of Psychology series,,2/13/2017,384 pages,978-1-4462-4962-8,£85.00,978-1-4462-4963-5,£30.99,978-1-4739-3373-6,£24.99,http://www.uk.sagepub.com/books/Book238137
PSYC Psychology,Haslam S,Psychology in Organizations: Second Edition,,,4/18/2004,336 pages,978-0-7619-4230-6,£123.00,978-0-7619-4231-3,£41.99,978-1-4129-3238-7,£33.99,http://www.uk.sagepub.com/books/Book225894
PSYC Psychology,Haslam S & McGarty C,Doing Psychology,SAGE Foundations of Psychology series,,12/28/1997,312 pages,978-0-7619-5734-8,£60.00,978-0-7619-5735-5,£39.99,,,http://www.uk.sagepub.com/books/Book206434
PSYC Psychology,Haslam S & McGarty C,Doing Psychology - Instructor's Materials,,,12/30/1997,75 pages,,,978-0-7619-6023-2,,,,http://www.uk.sagepub.com/books/Book208056
PSYC Psychology,Haslam S & McGarty C,Research Methods and Statistics in Psychology: Second Edition,SAGE Foundations of Psychology series,,2/13/2014,544 pages,978-1-4462-5596-4,£98.00,978-1-4462-5597-1,£33.99,978-1-4462-9757-5,£26.99,http://www.uk.sagepub.com/books/Book239278
MANA Management and Organization Studies,Haslam S & Reicher S,Psychology of Leadership,SAGE Benchmarks in Leadership,,5/16/2014,1863 pages,978-1-4462-9505-2,£920.00,,,,,http://www.uk.sagepub.com/books/Book242782
MANA Management and Organization Studies,Hassard J & Holliday R,Organization-Representation,,,2/28/1998,288 pages,978-0-7619-5391-3,£113.00,978-0-7619-5392-0,£39.99,978-0-85702-609-5,£31.99,http://www.uk.sagepub.com/books/Book205760
MANA Management and Organization Studies,Hassard J & Parker M,Postmodernism and Organizations,,,7/13/1993,256 pages,978-0-8039-8879-8,£37.50,978-0-8039-8880-4,£39.99,,,http://www.uk.sagepub.com/books/Book204136
MANA Management and Organization Studies,Hassard J et al,Body and Organization,,,4/28/2000,272 pages,978-0-7619-5917-5,£113.00,978-0-7619-5918-2,£38.99,978-0-85702-632-3,£30.99,http://www.uk.sagepub.com/books/Book207284
POLI Politics and International Relations,Hassner R & Svensson I,International Relations and Religion,SAGE Library of International Relations,,1/15/2016,1448 pages,978-1-4739-1378-3,£730.00,,,,,http://www.uk.sagepub.com/books/Book244960
POLI Politics and International Relations,Hastedt G et al,Cases in International Relations,,,4/30/2014,376 pages,,,978-1-60871-247-2,£43.99,,,http://www.uk.sagepub.com/books/Book237096
PSYC Psychology,Hastie R & Dawes R,Rational Choice in an Uncertain World: Second Edition,,,1/17/2010,392 pages,,,978-1-4129-5903-2,£74.00,,,http://www.uk.sagepub.com/books/Book231783
MANA Management and Organization Studies,Hastings G et al,The SAGE Handbook of Social Marketing,,,11/30/2011,468 pages,978-1-84920-188-9,£120.00,,,978-1-4462-5447-9,£60.00,http://www.uk.sagepub.com/books/Book234153
EDUC Primary and Secondary Education,Hatch P,The Use of Data in School Counseling,,,1/31/2014,416 pages,,,978-1-4522-9025-6,£29.99,,,http://www.uk.sagepub.com/books/Book240948
,Hatch P et al,Hatching Results for Elementary School Counseling,,,4/30/2018,304 pages,,,978-1-5063-8964-6,,,,http://www.uk.sagepub.com/books/Book257716
ECON Economics,Hatekar N,Principles of Econometrics,,,10/31/2010,464 pages,,,978-8-13-210469-8,£19.99,978-8-13-210660-9,£19.99,http://www.uk.sagepub.com/books/Book235556
SOCI Sociology and Cultural Studies,Hattery A,"Women, Work, and Families",,,2/28/2001,248 pages,978-0-7619-1936-0,£102.00,978-0-7619-1937-7,£55.00,,,http://www.uk.sagepub.com/books/Book9740
"SOCW Social Welfare, Family Studies & Gerontology",Hattery A & Smith E,African American Families,,,6/19/2007,408 pages,,,978-1-4129-2466-5,£56.00,,,http://www.uk.sagepub.com/books/Book228034
,Hattie J,Ten Mindframes for Visible Learning,,,2/28/2018,0 pages,,,978-1-5443-2567-5,,,,http://www.uk.sagepub.com/books/Book261744
EDUC Primary and Secondary Education,Hattie J & Anderman E,International Guide to Student Achievement,,,8/31/2015,528 pages,,,978-1-5063-2738-9,,,,http://www.uk.sagepub.com/books/Book249434
EDUC Primary and Secondary Education,Hattie J et al,"OLD Visible Learning for Mathematics, K-12",,,11/30/2016,216 pages,,,978-1-5063-2359-6,£26.99,,,http://www.uk.sagepub.com/books/Book248497
EDUC Primary and Secondary Education,Hattie J et al,"Visible Learning for Mathematics, Grades K-12",Corwin Mathematics Series,,12/12/2016,304 pages,,,978-1-5063-6294-6,£29.99,,,http://www.uk.sagepub.com/books/Book255006
"SOCW Social Welfare, Family Studies & Gerontology",Hatton K,New Directions in Social Work Practice: Second Edition,Transforming Social Work Practice Series,,11/30/2015,224 pages,978-0-85725-876-2,£75.00,978-0-85725-813-7,£24.99,978-0-85725-815-1,£19.99,http://www.uk.sagepub.com/books/Book238721
EDUC Primary and Secondary Education,Hatton S & Ladd P,Teaching Idea Development,,,9/30/2001,144 pages,978-0-7619-7758-2,£49.99,978-0-7619-7759-9,£25.99,,,http://www.uk.sagepub.com/books/Book17539
PSYC Psychology,Hatty S,"Masculinities, Violence and Culture",SAGE Series on Violence against Women,,6/30/2000,232 pages,978-0-7619-0500-4,£110.00,978-0-7619-0501-1,£54.00,,,http://www.uk.sagepub.com/books/Book9317
POLI Politics and International Relations,Haugaard M & Clegg S,Power and Politics,SAGE Library of Political Science,,3/30/2012,1688 pages,978-0-85702-568-5,£645.00,,,,,http://www.uk.sagepub.com/books/Book235670
POLI Politics and International Relations,Hauss C,Politics in France,,,10/15/2007,212 pages,,,978-1-56802-670-1,£53.00,,,http://www.uk.sagepub.com/books/Book236359
SOCR Social Research Methods and Evaluation,Have P,Understanding Qualitative Research and Ethnomethodology,,,1/18/2004,216 pages,978-0-7619-6684-5,£87.00,978-0-7619-6685-2,£29.99,978-1-4129-3361-2,£23.99,http://www.uk.sagepub.com/books/Book210304
SOCR Social Research Methods and Evaluation,Have P,Doing Conversation Analysis: Second Edition,Introducing Qualitative Methods series,,9/30/2007,264 pages,978-1-4129-2174-9,£97.00,978-1-4129-2175-6,£32.99,978-1-4462-0423-8,£25.99,http://www.uk.sagepub.com/books/Book229124
EDUC Primary and Secondary Education,Havelock R & Hamilton J,Guiding Change in Special Education,,,1/30/2004,296 pages,978-0-7619-3964-1,£73.00,978-0-7619-3965-8,£33.99,,,http://www.uk.sagepub.com/books/Book226135
EDUC Primary and Secondary Education,Haver J,Structured English Immersion,,,2/28/2003,160 pages,978-0-7619-4567-3,£54.00,978-0-7619-4568-0,£21.99,,,http://www.uk.sagepub.com/books/Book225456
"SOCW Social Welfare, Family Studies & Gerontology",Hawkins A & Dollahite D,Generative Fathering,Current Issues in the Family,Volume 3,1/30/1997,279 pages,978-0-7619-0117-4,£95.00,978-0-7619-0118-1,£58.00,,,http://www.uk.sagepub.com/books/Book5987
